region,lease_num,address,city,state,state_category,zip,lease_exp,remaining_term_years,lease_rsf,annual_rent,rent_prsf
1,LCT04065,600 STATE STREET,NEW HAVEN,CT,Connecticut,06511-6505,1/4/2020,7.85,"89,613","$2,154,934",$24.05
1,LMA03784,1 CENTER PLAZA,BOSTON,MA,Massachusetts,02108-1887,7/31/2014,2.42,"118,175","$7,902,640",$66.87
1,LMA04050,12 N E EXECUTIVE PARK,BURLINGTON,MA,Massachusetts,01803-5213,3/31/2012,0.08,"114,448","$3,038,323",$26.55
1,LMA04098,DRUM HILL TECH PARK,CHELMSFORD,MA,Massachusetts,01824-1517,8/31/2021,9.51,"68,950","$2,547,656",$36.95
1,LMA04014,696 VIRGINIA ROAD,CONCORD,MA,Massachusetts,01742-2718,3/11/2018,6.03,"104,527","$2,744,244",$26.25
1,LMA03754,300 WESTGATE CENTER DRI,HADLEY,MA,Massachusetts,01035-9587,12/13/2012,0.79,"72,220","$1,250,891",$17.32
1,LMA04479,900 CHELMSFORD ST,LOWELL,MA,Massachusetts,01851-8100,4/30/2012,0.16,"93,365","$1,776,045",$19.02
1,LMA04193,900 CHELMSFORD ST,LOWELL,MA,Massachusetts,01851-8100,3/31/2012,0.08,"56,212","$1,908,369",$33.95
1,LMA04433,PLEASANT VALLEY & MILK,METHUEN,MA,Massachusetts,01844-7201,9/30/2014,2.58,"155,250","$1,870,886",$12.05
1,LMA04756,DAN FOX DRIVE,PITTSFIELD,MA,Massachusetts,01201-8230,1/31/2020,7.92,"153,459","$1,021,579",$6.66
1,LNH04609,207 INTERNATIONAL DRIVE,PORTSMOUTH,NH,New Hampshire,03801-6827,9/30/2028,16.59,"100,706","$2,221,453",$22.06
1,LRI03314,380 WESTMINSTER MALL,PROVIDENCE,RI,Rhode Island,02903-3246,3/31/2013,1.08,"148,777","$3,671,948",$24.68
1,LVT04850,30 RIVER RD,ESSEX JUNCTION,VT,Vermont,05452-3808,7/31/2021,9.42,"62,824","$1,426,082",$22.70
1,LVT04613,70 KIMBALL AVENUE,SOUTH BURLINGTON,VT,Vermont,05403-6840,7/31/2016,4.42,"64,273","$1,498,922",$23.32
1,LVT03682,COOTE FIELD IND. PARK,ST ALBANS,VT,Vermont,05478-2308,6/30/2021,9.34,"149,105","$4,016,928",$26.94
1,LVT04094,TAFTS CORNER COMMERCIAL PARK,WILLISTON,VT,Vermont,05495-7554,5/1/2015,3.17,"76,898","$1,719,331",$22.36
2,LNJ22906,1210 CORBIN STREET,ELIZABETH,NJ,New Jersey,07201-2951,8/20/2013,1.47,"87,438","$2,768,379",$31.66
2,LNJ23096,11 CENTRE STREET,NEWARK,NJ,New Jersey,07102-4501,11/15/2022,10.72,"247,067","$13,408,867",$54.27
2,LNJ23182,1100 RAYMOND BLVD,NEWARK,NJ,New Jersey,07102-5234,5/31/2016,4.25,"217,419","$10,600,245",$48.75
2,LNJ22847,1100 RAYMOND BLVD,NEWARK,NJ,New Jersey,07102-5234,6/30/2013,1.33,"89,469","$1,911,494",$21.36
2,LNJ23655,2 FEDERAL SQ,NEWARK,NJ,New Jersey,07102-9337,9/30/2014,2.58,"136,739","$3,155,288",$23.08
2,LNJ22904,620 FRELINGHUYSEN AVE,NEWARK,NJ,New Jersey,07114-1318,6/1/2013,1.25,"99,011","$2,149,975",$21.71
2,LNJ23798,111 HEROD BOULEVARD,SOUTH BRUNSWICK TOWNSHIP,NJ,New Jersey,08810-1529,2/28/2015,3.00,"256,390","$2,543,316",$9.92
2,LNY22918,200 MCCARTY AVENUE,ALBANY,NY,New York,12209-2016,9/28/2018,6.58,"98,184","$1,784,895",$18.18
2,LNY23312,130 SOUTH ELMWOOD,BUFFALO,NY,New York,14201-2310,1/13/2015,2.87,"93,130","$2,422,959",$26.02
2,LNY23297,130 SOUTH ELMWOOD,BUFFALO,NY,New York,14201-2310,12/12/2014,2.78,"61,334","$1,608,094",$26.22
2,LNY22689,138 DELAWARE AVE,BUFFALO,NY,New York,14202-2404,12/16/2013,1.79,"61,962","$1,261,562",$20.36
2,LNY22753,138 DELAWARE AVE,BUFFALO,NY,New York,14202-2404,3/3/2014,2.01,"56,465","$997,649",$17.67
2,LNY22817,68-94 S. ELMWOOD AVE,BUFFALO,NY,New York,14202-2609,10/15/2015,3.62,"65,458","$1,662,261",$25.39
2,LNY23412,726 EXCHANGE STREET,BUFFALO,NY,New York,14210-1484,10/16/2015,3.63,"53,010","$988,204",$18.64
2,LNY22550,2875 UNION ROAD,CHEEKTOWAGA,NY,New York,14227-1461,12/26/2015,3.82,"86,049","$2,330,477",$27.08
2,LNY22525,107 CHAS LINDBERGH BLVD,GARDEN CITY,NY,New York,11530-4819,5/4/2012,0.18,"88,321","$2,690,625",$30.46
2,LNY23744,5000 CORPORATE CT,HOLTSVILLE,NY,New York,11742-2002,6/8/2021,9.28,"101,178","$2,625,563",$25.95
2,LNY23667,5000 CORPORATE CT,HOLTSVILLE,NY,New York,11742-2002,8/15/2025,13.47,"52,697","$1,340,966",$25.45
2,LNY22562,10 METROTECH CENTER,NEW YORK-KINGS,NY,New York,11201-5432,8/11/2012,0.45,"182,302","$6,353,225",$34.85
2,LNY23491,300 CADMAN PLAZA WEST,NEW YORK-KINGS,NY,New York,11201-2790,8/21/2018,6.48,"66,056","$3,195,412",$48.37
2,LNY23180,335 ADAMS STREET,NEW YORK-KINGS,NY,New York,11201-3724,10/30/2018,6.67,"92,210","$4,641,246",$50.33
2,LNY23910,1 PENN PLAZA,NEW YORK-MANHATTAN,NY,New York,10119-0002,12/31/2021,9.84,"146,677","$8,422,193",$57.42
2,LNY22680,1133 6TH AVE,NEW YORK-MANHATTAN,NY,New York,10036-6710,9/21/2014,2.56,"207,379","$10,171,506",$49.05
2,LNY23401,233 BROADWAY,NEW YORK-MANHATTAN,NY,New York,10279-0001,10/31/2015,3.67,"168,588","$7,161,618",$42.48
2,LNY23375,32 OLD SLIP,NEW YORK-MANHATTAN,NY,New York,10005-3500,5/4/2020,8.18,"65,796","$2,790,835",$42.42
2,LNY23598,516-520 WEST 20TH STREET,NEW YORK-MANHATTAN,NY,New York,10011-2820,1/31/2016,3.92,"54,828","$2,645,624",$48.25
2,LNY23244,601 WEST 26TH ST,NEW YORK-MANHATTAN,NY,New York,10001-1101,12/31/2013,1.84,"199,327","$11,392,040",$57.15
2,LNY22719,601 WEST 26TH ST,NEW YORK-MANHATTAN,NY,New York,10001-1101,10/31/2014,2.67,"51,068","$3,300,000",$64.62
2,LNY23410,85 TENTH AVENUE,NEW YORK-MANHATTAN,NY,New York,10011-4721,6/5/2015,3.26,"112,000","$5,003,785",$44.68
2,LNY23336,85 TENTH AVENUE,NEW YORK-MANHATTAN,NY,New York,10011-4721,11/30/2013,1.75,"56,000","$2,497,023",$44.59
2,LNY23402,85 TENTH AVENUE,NEW YORK-MANHATTAN,NY,New York,10011-4721,1/17/2015,2.88,"56,000","$2,494,844",$44.55
2,LNY23294,86 CHAMBERS STREET,NEW YORK-MANHATTAN,NY,New York,10007-1826,12/31/2013,1.84,"72,259","$3,058,054",$42.32
2,LNY22464,99 10TH AVENUE NY NY,NEW YORK-MANHATTAN,NY,New York,10011-4713,6/2/2016,4.26,"269,961","$17,098,198",$63.34
2,LNY22885,158-15 LIBERTY AVE.,NEW YORK-QUEENS,NY,New York,11433-1034,10/19/2019,7.64,"224,000","$10,264,147",$45.82
2,LNY22921,159 STREET AND ROCKAWAY BLVD,NEW YORK-QUEENS,NY,New York,11430-0000,4/2/2020,8.09,"209,244","$9,639,727",$46.07
2,LNY23686,250 N BOUNDARY ROAD,NEW YORK-QUEENS,NY,New York,11430-9508,9/30/2014,2.58,"64,164","$2,186,997",$34.08
2,LNY22593,JFK AIRPORT,NEW YORK-QUEENS,NY,New York,11430-1807,6/18/2012,0.30,"145,912","$7,784,257",$53.35
2,LNY22855,NIAGARA & RIVERWAY STS,NIAGARA FALLS,NY,New York,14303-1136,9/30/2018,6.59,"69,522","$2,488,975",$35.80
2,LPR19117,15 SECOND STREET,"GUAYNABO, SAN JUAN",PR,U.S. Territories,00968-1739,3/31/2018,6.08,"58,965","$2,764,093",$46.88
2,LPR19158,50 STATE ROAD PR-165,"GUAYNABO, SAN JUAN",PR,U.S. Territories,00968-8024,10/21/2020,8.65,"59,196","$1,518,142",$25.65
2,LPR19052,7 TABONUCO STREET,"GUAYNABO, SAN JUAN",PR,U.S. Territories,00968-3002,11/5/2015,3.68,"111,541","$4,633,367",$41.54
2,LPR18973,7 TABONUCO STREET,"GUAYNABO, SAN JUAN",PR,U.S. Territories,00968-3002,2/17/2015,2.97,"73,901","$2,745,959",$37.16
2,LPR19059,350 CHARDON AVENUE,"HATO REY, SAN JUAN",PR,U.S. Territories,00918-2124,6/30/2012,0.33,"59,231","$2,624,346",$44.31
